abandon   v.抛弃，放弃=1
pyjamas   n.睡衣=0
pyramid   n.金字塔=0
qualification   n.资格，条件=0
qualified   adj.有资格的=0
qualify   v.使合格，使胜任=0
qualitative   adj.质量的，定性的=0
quality   n.特性，属性，质量=0
quantitative   adj.数量的，定量的=0
quantity   n.量，大量=0
quarrel   v.,n.争吵=0
quart   n.夸脱(容量单位)=0
quarter   n.四分之一，一刻钟=0
quarterly   adj.季度的 n.季刊=0
quartz   n.石英=0
quay   n.码头=0
queen   n.王后，女王=0
queer   adj.奇妙的，古怪的=0
quench   v.抑制，熄灭，淬火=0
query   v.,n.询问=0
quest   n.寻找，搜索=0
question   n.问题，疑问 v.询问=0
questionnaire   n.调查表=0
queue   n.辫子，队 v.排队=0
quick   adj.快的，灵敏的=0
quicken   v.加快，加速，刺激=0
quickly   adv.快，迅速地=0
quiet   adj.安静的，轻声的=0
quietly   adv.安静地，静静地=0
quietness   n.平静，安定，安静=0
quilt   n.被子=0
quit   v.停止，放弃，退出=0
quite   adv.完全，十分，相当=0
quiver   v.颤抖=0
quiz   n.测验，问答比赛=0
quota   n.定额，配额=0
quotation   n.引语，语录，报价单=0
quote   v.引用，引证，报价=0
rabbit   n.兔子=0
race   n.种族，竞赛 v.赛跑=0
racial   adj.种族的，人种的=0
rack   n.搁班，行李架=0
racket   n.喧闹，球拍=0
radar   n.雷达=0
radial   adj.放射的，辐射的=0
radiant   adj.发光的=0
radiate   v.辐射，放射，发光=0
radiation   n.辐射，发射=0
radical   adj.基本的，激进的=0
radio   n.无线电，收音机=0
radioactive   adj.放射性的=0
radioactivity   n.放射性=0
radish   n.萝卜=0
radium   n.镭=0
radius   n.半径，活动范围=0
rag   n.抹布，破衣服=0
rage   n.盛怒，流行 v.大怒=0
raid   v.袭击，搜查=0
rail   n.栏杆，钢轨=0
railroad   n.铁路=0
railway   n.铁路，铁路公司=0
rain   n.雨 v.下雨=0
rainbow   n.虹=0
raincoat   n.雨衣=0
rainfall   n.下雨，降雨量=0
rainy   adj.有雨的=0
raise   v.举起，提高，唤起=0
rake   n.,v.耙=0
rally   n.,v.集会=0
ramble   n.漫步=0
ranch   n.牧场=0
random   adj.胡乱的，随便的=0
range   n.射程，范围，一系列=0
rank   n.军衔，等级 v.排列=0
rapid   adj.快的，急速的=0
rapidly   adv.迅速地，急速地=0
rapture   n.狂喜=0
rare   adj.稀有的，罕见的=0
rarely   adv.难得，少有=0
rascal   n.无赖，恶棍=0
rash   adj.轻率的，鲁莽的=0
rat   n.老鼠，耗子=0
rate   n.比率，速度，费率=0
rather   adv.相当，颇，宁愿=0
ratification   n.批准，认可=0
ratify   v.批准，认可，追认=0
ratio   n.比，比率=0
ration   n.理性=0
rational   adj.合理的，有理性的=0
rattle   v.,n.嘎吱响=0
ravage   n.破坏，暴力=0
raw   adj.生的，未加工的=0
ray   n.光线，射线，辐射=0
razor   n.剃须刀=0
re   prep.关于=0
reach   v.到达，伸手，够到=0
react   v.反应，起反应，反抗=0
reaction   n.反应，反动=0
reactionary   adj.反动的=0
reactor   n.反应堆=0
read   v.读，阅读，朗诵=0
reader   n.读者，读本=0
readily   adv.容易地，乐意地=0
reading   n.读书，读数，读本=0
ready   adj.准备好的，乐意的=0
real   adj.真的，纯粹的=0
realism   n.现实主义，写实主义=0
realist   n.adj.现实主义者(的)=0
realistic   adj.现实的，实在的=0
reality   n.现实，真实性=0
realization   n.实现=0
realize   v.认识到，实现，执行=0
really   adv.真正地，果然=0
realm   n.王国，领域=0
reap   v.收割，收获=0
rear   n.后部 adj.后面的=0
reason   n.原因，理由 v.推论=0
reasonable   adj.有理的，讲理的=0
reasonably   adv.合理地，适当地=0
reassure   v.使...放心=0
rebate   n.回扣，折扣=0
rebel   v.起义，反叛=0
rebellion   n.叛乱，起义=0
rebuke   v.斥责=0
recall   v.想到，召回，取消=0
recede   v.归还，撤回=0
receipt   n.收到，收据=0
receive   v.收到，接待， 接见=0
receiver   n.受领人，听筒=0
recent   adj.近来的，新近的=0
recently   adv.近来，最近=0
reception   n.招待会，欢迎会=0
receptionist   n.接待员=0
recession   n.衰退=0
recipe   n.菜谱，配方=0
recipient   n.接受者=0
reciprocal   adj.相互的，互易的=0
recitation   n.朗诵=0
recite   v.背诵，朗诵，讲述=0
reckless   adj.鲁莽的=0
reckon   v.数，计算，认为=0
reclaim   v.收回，开垦=0
recognition   n.认出，承认=0
recognize   v.认出，识别，承认=0
recollect   v.回忆，追想=0
recollection   n.回忆=0
recommend   v.推荐，介绍，劝告=0
recommendation   n.推荐(书)=0
recompense   v.,n.回报，赔偿=0
reconcile   v.使和好，调停=0
reconnaissance   n.探索，勘查=0
record   v.记录，录音 n.记录=0
recorder   n.记录员，录音机=0
recourse   n.求助=0
recover   v.寻回，恢复，复原=0
recovery   n.寻回，恢复=0
recreation   n.消遣，文娱活动=0
recruit   v.招募，征兵=0
recruitment   n.招募=0
rectangle   n.长方形，矩形=0
rectification   n.纠正=0
rectify   v.纠正，订正=0
recur   v.再发生，复发=0
recurrence   n.再发生=0
red   adj.红的 n.红色=0
redeem   v.买回，赎回=0
redound   v.增加，促进=0
reduce   v.减少，贬为=0
reduction   n.减少，缩减=0
reed   n.芦苇，芦笛=0
reef   n.礁石=0
reel   n.卷，线轴 v.卷绕=0
reexport   v.再出口=0
refer   v.查阅，提及=0
referee   n.裁判员=0
reference   n.参考(书)，推荐书=0
referent   n.被谈到的事=0
refine   v.精炼，精制=0
refined   adj.精炼的，精的=0
refinement   n.精炼=0
refinery   n.精炼厂=0
reflect   v.反射，反映，反省=0
reflection   n.反射，映象，反思=0
reform   v.,n.改革，改造=0
refrain   v.抑制=0
refresh   v.使清醒，使振作=0
refreshment   n.茶点，饮料=0
refrigerator   n.冰箱=0
refuge   n.藏身处，避难所=0
refugee   n.难民=0
refund   v.再投资,归还 n.退款=0
refusal   n.拒绝，谢绝=0
refuse   v.拒绝 n.渣，废物=0
refute   v.驳斥，反驳=0
regard   v.认为，尊重，关于=0
regarding   prep.关于=0
regardless   adj.,adv.不顾的(地)=0
regime   n.政体，制度=0
regiment   n.团，大量=0
region   n.地区，地域，地带=0
regional   adj.地区的，区域的=0
regionalization   n.区域化=0
regionalize   v.使区域化=0
register   v.登记，注册，挂号=0
registered   adj.登记的，注册的=0
registration   n.登记=0
regret   v.懊悔 n.遗憾=0
regretful   adj.遗憾的=0
regretfully   adv.遗憾地=0
regrettable   adj.可遗憾的=0
regular   adj.正常的，有规律的=0
regularity   n.整齐，规律=0
regularly   adv.整齐地，有规律地=0
regulate   v.管理，调整=0
regulation   n.管理，规则，法令=0
rehearsal   n.排练，彩排=0
rehearse   v.排练=0
reign   n.统治 v.统治，盛行=0
reimburse   v.偿还=0
reimbursement   n.偿还，还款=0
rein   n.缰绳 v.驾驭，约束=0
reinforce   v.增援，加强=0
reinforcement   n.加强，援兵=0
reiterate   v.重申=0
reject   v.拒绝=0
rejection   n.拒绝=0
rejoice   v.欢欣，使喜悦=0
relate   v.叙述，关联，涉及=0
related   adj.与...有关的=0
relation   n.关系，得害关系=0
relationship   n.关系，联系=0
relative   n.亲戚 adj.有关系的=0
relatively   adv.比较地，相对地=0
relativity   n.相关性，相对论=0
relax   v.松弛，舒张，休息=0
relaxation   n.放松，松弛=0
relay   v.转播，中继=0
release   v.释放，透露，发行=0
relevant   adj.相关的=0
reliability   n.可靠性=0
reliable   adj.可靠的，可依赖的=0
reliance   n.依靠，信赖=0
relief   n.解除，减轻，安慰=0
relieve   v.解除，减轻，换班=0
religion   n.宗教(信仰)=0
religious   adj.宗教的，信教的=0
relinquish   v.放弃=0
relish   n.味道，风味=0
reluctance   n.不愿，勉强=0
reluctant   adj.不愿的，勉强的=0
rely   v.依靠，依赖=0
remain   n.依旧的，剩余，逗留=0
remainder   n.剩余部分=0
remains   n.剩余，遗迹，遗体=0
remark   v.说起，留意，评论=0
remarkable   adj.显著的，异常的=0
remedy   n.药品，治疗(方法)=0
remember   v.记得，想起，记住=0
remembrance   n.记得，记忆=0
remind   v.提醒，使想起=0
reminiscence   n.回想，回忆，怀念=0
reminiscent   adj.使想起...的=0
remit   v.汇款，汇出=0
remittance   n.汇款=0
remnant   n.残余，残迹=0
remote   adj.遥远的，疏远的=0
remoteness   n.遥远，疏远=0
removal   n.移开，除去，移居=0
remove   v.移开，除去，罢免=0
remuneration   n.列举=0
renaissance   n.(文艺)复兴=0
render   v.使得，给予，翻译=0
renew   v.更新，续期=0
renewable   adj.可续期的=0
renewal   n.更新，续订=0
rent   n.租金 v.租=0
rental   adj.租借的，租金的=0
repair   v.修理，纠正=0
repairmen   n.修理，修补，纠正=0
repay   v.偿付，报答=0
repeal   v.,n.撤消，废除=0
repeat   v.重复，背诵=0
repeatedly   adj.重复地，一再地=0
repel   v.驱逐，推开=0
repent   v.后悔，悔悟=0
repetition   n.重复，反复，复制=0
repetitive   adj.重复的，反复的=0
replace   v.归还原处，代替=0
replacement   n.归回，代替(物)=0
replenish   v.补充=0
replenishment   n.补充(货物)=0
reply   v.,n.回答，答复=0
report   v.报告，报导，报道=0
reportage   n.报告文学=0
reporter   n.报告人，记者=0
represent   v.表示，表现，代表=0
representation   n.表示，代表=0
representative   adj.代表=0
reproach   v.,n.责备，指责=0
reproduce   v.复制，再造，繁殖=0
reproduction   n.复制(器)=0
reptile   n.爬行动物=0
republic   n.共和国=0
republican   n.,adj.共和(派)的=0
repudiate   n.拒绝接收，拒付=0
reputable   adj.声誉好的=0
reputation   n.名声，声誉=0
repute   n.声誉 v.看作，评价=0
request   n.请求=0
require   v.需要，请求=0
requirement   n.要求，需要=0
requisite   adj.必要的，需要的=0
rescind   adj.退还，取消=0
rescue   v.,n.救援，救出=0
research   v.,n.调查，研究=0
researcher   n.调查者，研究人员=0
resemblance   n.相仿，类似=0
resemble   v.象，类似=0
resent   v.不满于，愤恨=0
resentful   adj.不满的，怨恨的=0
resentment   n.不满，愤恨=0
reservation   n.贮存物，预定=0
reserve   v.贮备，保存，预定=0
reservoir   n.水库=0
reside   v.居住，存在=0
residence   n.住宅，住处=0
resident   n.居民=0
residual   adj.剩余的=0
resign   v.辞职=0
resignation   n.辞职=0
resist   v.抵抗，忍住=0
resistance   n.抵抗，阻力，反感=0
resistant   n.抵抗的，反对的=0
resolute   adj.坚决的，果断的=0
resolution   n.决议，决定，决心=0
resolutely   adj.坚决地，果断地=0
resolve   v.决定，解决，分解=0
resort   v.诉诸，求助 n.胜地=0
resource   n.资源，机智，策略=0
respect   v.尊重，重视，尊敬=0
respectable   adj.可敬的=0
respectful   adj.恭敬的，尊重的=0
respectfully   adv.恭敬地=0
respective   adj.各自的，各个的=0
respectively   adv.各自，分别地=0
respond   v.答复，反应，响应=0
response   v.答复，反应，响应=0
responsibility   n.责任，职责=0
responsible   adj.负责的，尽责的=0
rest   v.休息 n.休息，休止=0
restaurant   n.饭馆，餐厅=0
restless   adj.没休息的，不安的=0
restock   v.重新进货=0
restore   v.恢复，复原，归还=0
restrain   v.抑制，制止=0
restraint   n.抑制，自制=0
restrict   v.限制，约束=0
restriction   n.限制，约束=0
restrictive   n.限制的=0
result   n.结果，效果，后果=0
resultant   adj.结果的，合成的=0
resume   v.继续，再度=0
resume   n.个人简历，摘要=0
retail   v.,n.零售=0
retailer   n.零售商=0
retain   v.保留，记忆，雇=0
retell   v.复述=0
retire   v.退休，退隐，就寝=0
retirement   n.退休，隐居=0
retort   v.反驳，回嘴=0
retreat   v.,n.退却，撤退=0
retroactive   adj.可追溯的=0
return   v.回归，归还 n.归来=0
reveal   v.揭露，透露，显示=0
revenge   n.,v.报仇，报复=0
revenue   n.岁入，收入=0
reverence   n.尊敬，崇敬=0
reverse   adj.颠倒的，相反的=0
revert   v.回复到，重议=0
review   v.,n.检查，复习=0
revise   v.修改，校订，复习=0
revision   n.修改，修订=0
revival   n.复苏，再生=0
revive   v.苏醒，复苏=0
revoke   v.废除，取消，撤回=0
revolt   n.,v.起义，反抗=0
revolution   n.革命，变革=0
revolutionary   adj.革命的=0
revolve   v.旋转，绕行=0
reward   n.报酬，酬金，报答=0
rewarding   adj.有收获的=0
rheumatism   n.风湿病=0
rhyme   n.韵，脚韵=0
rhythm   n.韵律，节奏=0
rib   n.肋，肋骨=0
ribbon   n.带子，缎带=0
rice   n.稻子，大米，米饭=0
rich   adj.富的，富饶的=0
richness   n.富饶，富有=0
rid   v.使摆脱，使除去=0
riddle   n.谜语，谜=0
ride   v.乘坐，骑 n.乘车=0
ridge   n.山脉，岭，屋脊=0
ridicule   n.,v.嘲笑，挖苦=0
rediculous   adj.可笑的，荒谬的=0
rifle   n.步枪，来福枪=0
right   adj.正确的，右的=0
righteous   adj.正直的，公正的=0
rigid   adj.僵硬的，严厉的=0
rigidity   adj.僵硬，严厉，死板=0
rigor   n.严格，严肃=0
rigorous   adj.严厉的，酷热的=0
rim   n.边缘，眼镜架=0
ring   v.鸣，打铃，打电话=0
rinse   v.漂洗，润丝=0
riot   n.,v.骚乱，闹事=0
riotous   adj.骚乱的，喧扰的=0
rip   v.撕破，扯碎=0
ripe   adj.熟的，成熟的=0
ripen   v.成熟，变热=0
ripple   n.波纹，涟漪=0
rise   v.起立，晋级，增长=0
risk   n.,v.冒险，风险=0
risky   adj.有风险的，冒险的=0
rival   n.对手 adj.竞争的=0
rivalry   n.竞争，对抗=0
river   n.河，江=0
road   n.道路，路=0
roam   v.漫步，漫游=0
roar   v.,n.吼，怒号，轰鸣=0
roast   v.烤，炙 adj.烘烤的=0
rob   v.抢劫，偷=0
robber   n.强盗=0
robbery   n.抢劫(案)=0
robe   n.长袍=0
robot   n.机器人=0
robust   adj.强壮的，粗壮的=0
rock   n.岩石 v.摇摆，摇晃=0
rock-bottom   n.adj.(价格)最低(的)=0
rocket   n.火箭=0
rod   n.小棒，竿=0
role   n.角色，作用=0
roll   v.滚，卷，转动，压平=0
roller   n.滚筒，压路机=0
roman   adj.古罗马的n.罗马人=0
romance   n.浪漫文学，浪漫故事=0
romantic   adj.浪漫的，好幻想的=0
romanticism   n.浪漫主义=0
rome   n.罗马=0
roof   n.屋顶=0
room   n.房间，室，空间=0
rooster   n.公鸡=0
root   n.根，根源=0
rope   n.绳，索=0
rose   n.玫瑰，蔷薇=0
rosy   adj.玫瑰红的，幻想的=0
rot   v.腐烂，枯朽=0
rotary   adj.旋转的=0
rotate   v.旋转，循环，转流=0
rotation   n.旋转，更替=0
rotten   adj.腐烂的，发臭的=0
rough   adj.粗糙的，粗野的=0
roughly   adv.大约地，粗略地=0
round   adj.圆形的adv.在周围=0
roundabout   adj.迂回的，转弯抹角=0
rouse   v.唤醒，惊起=0
route   n.路线，航线=0
routine   n.日常事务=0
row   v.划船 n.排，列=0
royal   adj.王室的，皇家的=0
royalty   n.皇家，皇族=0
rub   v.擦，摩擦，涂抹=0
rubber   n.橡胶，橡皮=0
rubbish   n.垃圾，废物，废话=0
rude   adj.粗鲁的，下流的=0
rug   n.小块地毯=0
ruin   n.废墟 v.毁坏，破坏=0
ruinous   adj.毁灭性的=0
rule   n.法规，常规，统治=0
ruler   n.统治者，直尺=0
ruling   adj.统治的=0
rumor   n.,v.传闻，谣言=0
run   v.跑，竞选，行驶=0
runner   n.奔跑者，赛跑运动员=0
running   adj.连续的 n.经营=0
rural   adj.农村的=0
rush   v.,n.冲，冲进=0
russia   n.俄罗斯，俄语=0
russian   n.,adj.俄国(人)的=0
rust   n.锈 v.生锈，衰退=0
rusty   adj.生锈的=0
ruthless   adj.无情的，冷酷的=0
sack   n.麻袋 v.解雇=0
sacred   adj.神圣的=0
sacrifice   n.,v.牺牲(品)=0
sad   adj.悲哀的，可悲的=0
saddle   n.马鞍=0
sadly   adv.悲哀地，可惜=0
sadness   n.悲哀=0
safe   adj.安全的，无风险的=0
safely   adv.安全地，平安地=0
safety   n.安全 adj.保险的=0
sag   v.下跌=0
said   adj.上述的，该=0
sail   n.帆 v.行驶，开航=0
sailing   adj.启航的 n.航行=0
sailor   n.水手，海员=0
saint   n.圣人，圣徒=0
sake   n.缘故，利益=0
salad   n.色拉，拌凉菜=0
salability   n.适销性=0
salable   adj.有销路的，适销的=0
salary   n.工资，薪水=0
sale   n.出售，贱卖=0
sales   n.销售 adj.出售的=0
salesman   n.售货员，推销员=0
salmon   n.鲑，大马哈鱼=0
salt   n.盐=0
salty   adj.咸的=0
salute   v.行礼，致敬=0
salution   n.致敬=0
same   adj.同样的=0
sample   n.样品 v.抽样=0
sampling   n.抽样=0
sand   n.沙子=0
sandwich   n.三明治 v.夹入=0
sandy   adj.沙的，沙色的=0
sanitary   n.疗养院=0
santa Claus   n.圣诞老人=0
sarcasm   n.讽刺，挖苦=0
sarcastic   adj.讽刺的=0
sardine   n.沙丁鱼=0
satellite   n.卫星=0
satire   n.讽刺作品=0
satisfaction   n.满足，满意=0
satisfactorily   adv.圆满地=0
satisfactory   adj.令人满意的=0
satisfy   v.满足，使满意，偿还=0
saturation   n.浸透，饱和=0
saturday   n.星期六=0
saturn   n.土星=0
sauce   n.调味汁，酱油=0
saucer   n.茶碟=0
sausage   n.香肠，腊肠=0
savage   adj.野蛮的，残暴的=0
save   v.救，拯救，储蓄=0
savings   n.存款，储蓄额=0
saw   v.,n.锯=0
say   v.说 n.发言(权)=0
scale   n.刻度，等级，秤=0
scaly   adj.鱼鳞状的=0
scan   v.浏览，细察，扫描=0
scandal   n.丑闻=0
scar   n.疤，疤痕=0
scarce   adj.缺乏的，罕见的=0
scarcely   adv.几乎没有，将近=0
scarcity   n.缺乏，不足=0
scare   v.惊吓 n.惊恐=0
scarf   n.围巾，头巾=0
scarlet   adj.n.猩红的，鲜红的=0
scatter   v.散布，撒播=0
scene   n.现场，情景，一场戏=0
scenery   n.风景，布景=0
scenic   adj.风景如画的=0
scent   n.气味，香味=0
schedule   n.时间表 v.排定=0
scheme   n.计划，方案，图谋=0
scholar   n.学者=0
scholarship   n.奖学金，学问=0
school   n.学校，上学，学系=0
schooling   n.学校教育=0
science   n.科学，学科=0
scientific   adj.科学的=0
scientist   n.科学家=0
scissors   n.剪刀=0
scoff   v.嘲笑，嘲弄=0
scold   v.,n.训斥，责骂=0
scope   n.范围=0
scorch   v.烧焦=0
scorching   adj.灼热的=0
score   n.得分，成绩，二十=0
scorn   n.,v.蔑视，不屑=0
scornful   adj.蔑视的，轻视的=0
scotch   n.苏格兰=0
scotsman   n.苏格兰人=0
scottish   adj.苏格兰的=0
scotland   n.苏格兰=0
scout   n.侦察员，童子军=0
scramble   v.爬，攀，争夺=0
scrap   n.碎片，废品，屑=0
scrape   v.擦，刮，凑集=0
scratch   v.抓破，挠 n.抓痕=0
scream   v.,n.尖叫声=0
screech   v.,n.尖叫(声)=0
screen   n.屏，帘 v.甄别=0
screw   v.拧 n.螺钉=0
screwdriver   n.螺丝刀，改锥=0
script   n.临时单据=0
scrub   v.擦洗，刷=0
scrutiny   n.细看，复查=0
sculptor   n.雕塑家=0
sculpture   n.雕塑，雕刻=0
sea   n.海，海洋=0
seal   v.封 n.图章，封条=0
seam   n.接缝=0
seaman   n.海员，水手=0
seaport   n.海港，港口=0
search   v.,n.搜查，寻找=0
seashore   n.海滨=0
seaside   n.海边=0
season   n.季节 v.调味=0
seasonal   adj.季节性的=0
seat   n.座位，席位 v.就座=0
second   num.第二 n.第二，秒=0
secondary   adj.第二的，次要的=0
secondhand   adj.二手的，间接的=0
secondly   adv.第二，其次=0
secrecy   n.秘密(状态)=0
secret   adj.秘密的 n.秘密=0
secretariat   n.秘书处=0
secretary   n.秘书，部长，书记=0
section   n.部分，区域=0
sector   n.部分，部门=0
secure   adj.安全的，可靠的=0
security   n.安全，有价证券=0
see   v.看见，明白，查看=0
seed   n.种子 v.播种=0
seek   v.寻觅，企图获得=0
seem   v.好象，似乎=0
seemingly   adv.表面上=0
segment   n.部分，节，片=0
seize   v.抓住，夺取，占领=0
seizure   n.强占，没收=0
seldom   adv.难得，不常=0
select   v.挑选 adj.精选的=0
selection   n.选择，选集=0
self   n.自己，自身，品质=0
selfish   adj.自私的，利己的=0
sell   v.卖，出售=0
seller   n.卖方=0
seminar   n.研讨会，学术讲座=0
semiconductor   n.半导体=0
senate   n.参议院=0
senator   n.参议员=0
send   v.派遣，送，寄出，请=0
sender   n.寄信人=0
senior   adj.年长的，老资格的=0
sensation   n.感觉，感动=0
sensational   adj.轰动的=0
sense   n.感官，感觉，见识=0
senseless   adj.无意义的=0
sensible   adj.明智的，感知的=0
sensitive   adj.敏感的=0
sensitivity   n.灵敏度=0
sentence   n.句子 v.判决=0
sentiment   n.感情，情绪=0
sentimental   adj.多愁善感的=0
separate   v.分离，分隔，分手=0
separately   adv.分别地=0
separation   n.分离，分开=0
september   n.九月=0
sequence   n.一连串，顺序=0
serene   adj.清澈的，晴朗的=0
serenity   n.晴朗=0
series   n.系列，从书=0
serious   adj.慎重的，严重的=0
seriously   adv.严肃地，严重地=0
sermon   n.布道，说教=0
serpent   n.大蛇=0
servant   n.仆人=0
serve   v.服务，任职，服役=0
service   n.服务，公共设施=0
serviceable   adj.有用的，耐用的=0
session   n.会议，会期，市，盘=0
set   v.放，指定 n.全套=0
setting   n.安置，背景，环境=0
settle   v.解决，安置，支付=0
settlement   n.解决，结算=0
seven   num.七=0
seventeen   num.十七=0
seventh   num.第七，七分之一=0
seventy   num.七十=0
several   adj.几个=0
severe   adj.严厉的，苛刻的=0
severely   adv.严厉地，苛刻地=0
sew   v.缝纫=0
sewing-machine   n.缝纫机=0
sex   n.性，性别=0
sexual   adj.性的，性感的=0
sexuality   n.性欲=0
shabby   adj.褴褛的，不体面的=0
shade   n.阴影，遮光物，浓淡=0
shadow   n.影子，阴影=0
shadowy   adj.有阴影的，模糊的=0
shady   adj.遮阴的，背阴的=0
shaft   n.柄，竖井=0
shake   v.摇动，发抖，握手=0
shall   v.将=0
shallow   adj.浅的，浅薄的=0
sham   n.赝品 v.假冒=0
shame   n.羞耻，耻辱=0
shameful   adj.可耻的，丢脸的=0
shampoo   n.洗发香波=0
shape   n.形状，轮廓 v.形成=0
shapeless   adj.不定形的=0
share   n.份，股份 v.分配=0
shark   n.鲨鱼=0
sharp   adj.锐利的，明显的=0
sharpen   v.削尖，磨快=0
sharpener   n.铅笔刀，磨石=0
sharply   adv.尖锐地，敏锐地=0
shatter   v.粉碎，毁坏=0
shave   v.剃，修脸=0
she   pron.她=0
shear   v.剪毛，切割=0
shed   v.流下 n.棚子=0
sheep   n.绵羊=0
sheepish   adj.胆怯的=0
sheer   adj.全然的，极薄的=0
sheet   n.被单，张，大片=0
shelf   n.架子，搁板=0
shell   n.壳，英，炮弹，外壳=0
shelter   n.躲避处，庇护=0
shepherd   n.牧羊人=0
sheriff   n.郡长，警官=0
shield   n.盾牌 v.防护=0
shift   v.转变 n.转移，轮班=0
shilling   n.先令=0
shine   v.发光，照射，照耀=0
shiny   adj.耀眼的=0
ship   n.船，舰 v.船运=0
shipbuilding   n.造船业=0
shipmail   n.随船带交=0
shipment   n.船运，一船货=0
shipowner   n.船主=0
shipping   n.船运，装运=0
shipwreck   n.(船只)失事=0
shipyard   n.船坞=0
shirt   n.衬衣=0
shiver   v.发抖=0
shock   n.震惊，电击 v.震动=0
shoe   n.鞋=0
shoemaker   n.鞋匠=0
shoot   v.射击，发芽 n.嫩芽=0
shop   n.商店，车间=0
shopkeeper   n.店主=0
shopping   n.购物=0
shore   n.岸，滨=0
short   adj.短的，矮的=0
shortage   n.缺少，不足=0
shortcoming   n.短处，缺点=0
shortcut   n.捷径=0
shorten   v.缩短=0
shorthand   n.速记=0
shortly   adv.立刻，不久=0
shorts   n.短裤=0
short-weight   n.短装，短重=0
shot   n.射击，弹丸=0
should   v.应该，会=0
shoulder   n.肩膀=0
shout   v.,n.叫喊=0
shove   v.推，推开=0
shovel   n.铲子=0
show   v.显示，表明 n.演出=0
shower   n.阵雨，淋浴=0
showroom   n.展室，陈列室=0
shrewd   adj.机敏的，精明的=0
shriek   v.,n.尖叫(声)=0
shrill   v.刺耳的 v.尖叫=0
shrine   n.神龛=0
shrimp   n.虾=0
shrink   v.收缩，畏缩=0
shroud   n.遮蔽物=0
shrub   n.灌木=0
shrug   v.,n.耸肩=0
shuffle   v.拖脚走=0
shun   v.躲避，躲开=0
shut   v.关闭，合拢=0
shutter   n.百叶窗，快门=0
shuttle   n.梭 v.穿梭=0
shy   adj.害羞的，腼腆的=0
sick   adj.有病的，厌恶的=0
sickness   n.病=0
sickle   n.镰刀=0
side   n.边，面，侧面，一方=0
sidewalk   n.人行道=0
sideways   adv.侧面地=0
siege   v.包围，围攻=0
sieve   n.筛子=0
sift   v.筛，细查=0
sigh   v.,n.叹息，叹气=0
sight   n.视力，情景=0
sightseeing   n.观光，游览=0
sign   n.告示，迹象，符号=0
signal   n.信号 v.做手势=0
signature   n.签字=0
significance   n.重要性，意义=0
significant   adj.重要的，有意义的=0
signify   v.表示，意味=0
signpost   n.路标，广告柱=0
silence   n.寂静，沉默=0
silent   adj.寂静的，沉默的=0
silicon   n.硅=0
silk   n.丝，绸 adj.丝的=0
silky   adj.丝绸般的=0
silly   adj.糊涂的，愚蠢的=0
silver   n.银，银餐具=0
similar   adj.类似的，相象的=0
similarity   n.类似，相似=0
simple   adj.简单的，朴素的=0
simplicity   n.简单，简朴，单纯=0
simplify   v.简单化=0
simply   adv.简单地，仅=0
simulate   v.假装，佯伪=0
simultaneous   adj.同时(发生)的=0
simultaneously   adv.同时地=0
sin   n.罪，罪恶=0
since   prep.自从 conj.既然=0
sincere   adj.真诚的，诚挚的=0
sincerely   adv.真诚地=0
sincerity   n.真诚，诚挚=0
sinful   adj.有罪的，罪恶的=0
sing   v.唱=0
singer   n.歌手=0
single   adj.单个的，单身的=0
singular   adj.非凡的，单数的=0
sink   v.沉，下落 n.水槽=0
sir   n.先生=0
siren   n.汽笛，报警器=0
sister   n.姊，妹=0
sit   v.坐，栖息=0
site   n.场所，场地=0
sitting-room   n.起居室=0
situate   v.位于，坐落在=0
situation   n.形势，局面=0
six   num.六=0
sixteen   num.十六=0
sixth   num.第六，六分之一=0
sixty   num.六十=0
sizable   adj.相当大的=0
size   n.大小，规模，尺寸=0
skate   n.冰鞋 v.滑冰=0
skating   n.滑冰，溜冰=0
skeleton   n.骨架=0
sketch   n.素描，速写，草图=0
ski   n.雪撬 v.滑雪=0
skiing   n.滑雪=0
skill   n.技能，技艺=0
skillful   adj.熟练的=0
skim   v.撇去，掠过，略谈=0
skin   n.皮，皮肤 v.剥皮=0
skip   v.跳过，遗漏=0
skirmish   n.小冲突=0
skirt   n.裙子=0
skull   n.颅骨=0
sky   n.天，天空=0
skyrocket   v.猛涨=0
skyscraper   n.摩天大楼=0
slack   adj.松驰的，不景气的=0
slam   v.砰地关上=0
slander   n.,v.诽谤，污蔑=0
slang   n.俚语=0
slap   v.掌击，掴=0
slaughter   v.,n.屠宰，屠杀=0
slave   n.奴隶 v.做苦工=0
slavery   n.奴隶制，奴役=0
slay   v.屠杀=0
sleep   v.,n.睡眠=0
sleepy   adj.欲睡的=0
sleet   n.雨加雪=0
sleeve   n.袖子=0
slender   adj.细长的，苗条的=0
slice   n.薄片 v.切成薄片=0
slide   v.滑，溜=0
slight   adj.轻微的，纤瘦的=0
slightly   adv.轻微地，稍稍=0
slim   adj.苗条的=0
slip   v.滑，滑行，溜走=0
slipper   n.便鞋，拖鞋=0
slippery   adj.滑的=0
slit   v.割裂 n.狭口，裂缝=0
slogan   n.标语，口号=0
slope   v.倾斜 n.坡，坡度=0
slow   adj.慢的，迟钝的=0
slowdown   n.放慢，迟缓=0
slowly   adj.慢慢地=0
slum   n.贫民窟=0
slumber   n.睡眠，微睡=0
slump   n.暴跌，不景气=0
sly   adj.狡猾的=0
